#x   y  z   r
2.2913   -6.5565   10.05747    0.05000
-8.0688  -15.4743    4.4921    0.05000
5.2722    4.5883   19.4411    0.05000
17.2759  -12.5220    7.3274    0.05000
10.6775    8.5143   13.0559    0.05000
5.3026  -13.2809    5.2259    0.05000
-11.4767   -8.1480    7.3889    0.05000
3.7386  -10.7870   13.5168    0.05000
11.4015   -5.2972    6.6282    0.05000
11.8854    6.8730   -0.5906    0.05000
-11.6189   10.7607    6.6897    0.05000
11.4803   13.8164   10.1114    0.05000
-14.7540    0.6597    9.6013    0.05000
-8.9752   -7.6476    6.9212    0.05000
-1.3875    5.1954    7.2606    0.05000
-6.3235   11.6766    9.4340    0.05000
-2.6455   11.3773    7.8428    0.05000
